0	0-0 1-1 3-3 5-4 6-5
1	1-0 10-11 11-12 12-13 14-18 2-3 21-22 23-24 24-25 25-27 26-29 27-35 28-37 3-4 32-30 33-31 34-38 35-39 36-40 37-41 38-44 39-46 42-47 46-43 47-48 8-7 9-8
2	0-0 1-1 10-8 11-9 12-10 14-4 15-5 16-6 17-13 18-15 20-17 21-19 26-22 27-25 28-26 29-24 30-27 4-2 5-11 7-12
3	0-0 1-2 10-4 13-16 16-17 17-18 2-6 21-21 22-23 23-24 25-25 26-26 28-19 29-27 3-7 4-8 5-9 6-10 7-12 8-3
4	0-0 16-11 17-12 22-18 23-19 25-24 26-25 29-20 3-1 30-21 31-22 33-26 4-2 5-3 7-7 8-8 9-9
5	1-0 11-7 12-8 13-15 14-9 15-10 16-11 17-13 18-14 2-3 20-16 22-17 23-18 24-19 25-20 29-25 32-29 33-26 34-27 35-28 37-21 4-5 40-23 42-24 43-31 6-6 9-2
6	0-15 1-19 10-13 11-5 12-11 13-12 14-3 15-0 16-4 20-2 21-24 3-21 4-22 5-23 7-16 8-18
7	0-14 1-15 10-18 12-20 13-22 14-24 15-25 17-27 18-28 2-16 21-29 23-30 24-31 25-32 27-33 28-34 29-35 3-17 31-40 32-41 33-42 35-44 37-47 38-48 5-0 7-2 8-4 9-26
8	0-0 1-1 10-14 11-15 12-16 13-17 15-21 16-22 17-23 18-18 19-19 21-25 22-27 23-28 24-29 26-8 27-9 28-12 29-30 3-6 30-31 31-32 33-33 35-37 37-34 39-35 40-36 42-41 43-43 44-44 45-45 46-46 6-3 7-5 8-7
9	0-6 1-3 10-13 11-14 12-0 13-1 14-15 2-4 3-5 5-7 6-8 8-10 9-12
10	10-2 11-3 13-15 15-17 17-18 18-19 2-0 20-16 23-12 24-13 26-21 27-22 28-24 29-26 30-27 33-30 35-28 37-31 38-32 42-35 43-34 44-37 45-38 46-40 47-41 5-7 7-5 9-1
11	1-1 12-18 13-15 14-16 17-13 18-14 19-21 2-2 3-3 5-5 7-6 8-7 9-8
12	0-0 1-1 10-25 12-22 13-23 14-16 15-17 16-18 19-33 2-2 21-32 22-29 23-30 25-36 26-37 28-38 29-41 3-3 30-39 34-43 4-8 5-9 6-11 7-13
13	0-0 10-13 11-14 15-6 16-7 17-8 2-1 21-10 22-11 23-15 3-2 5-3 6-4 7-9 8-12
14	10-4 13-6 15-7 17-9 19-8 2-12 21-1 22-0 27-2 4-14 45-16 9-15
15	0-2 1-4 12-10 13-12 14-14 16-15 17-16 18-17 20-18 21-19 22-20 23-22 25-23 26-25 27-27 28-29 29-30 30-31 31-33 32-36 34-39 37-38 38-41 41-42 43-43 44-44 45-45 46-47 48-49 50-50 51-51 52-52 7-5 8-6 9-7
16	0-0 13-8 14-9 15-10 17-20 2-5 21-12 24-19 26-14 27-15 28-16 29-17 3-6 30-18 31-21 4-7 7-1 8-4 9-2
17	1-0 13-5 14-22 16-13 17-14 19-15 2-2 20-21 21-16 22-17 24-19 25-23 26-24 27-25 28-26 29-28 31-29 32-31 33-32 35-33 36-34 37-36 39-37 40-42 41-43 44-38 45-40 46-41 47-45 7-4
18	0-6 1-7 11-30 12-31 17-36 20-38 24-44 26-40 27-41 28-42 29-27 32-12 33-14 36-16 37-17 38-18 39-19 4-0 41-39 43-21 47-24 48-25 49-46 6-1 7-8 8-9 9-28
19	0-3 1-5 13-11 14-1 15-14 17-18 18-19 19-20 2-4 21-25 23-22 24-23 25-24 27-26 29-27 3-6 33-28 7-7 8-9 9-10
20	0-0 10-4 12-8 13-10 14-11 15-12 17-13 20-16 22-19 24-14 25-20 26-21 27-22 3-7 30-23 31-24 32-25 34-27 36-31 38-32 39-33 4-1 42-34 5-2 6-3 8-5
21	0-7 1-10 10-6 12-11 13-12 14-13 15-17 16-16 17-18 19-0 20-1 21-19 3-8 9-4
22	0-12 1-13 13-1 15-16 16-20 17-21 20-18 21-19 23-22 25-30 26-31 27-24 29-25 30-26 31-27 32-43 33-33 34-35 36-37 37-38 39-39 4-6 40-41 42-45 43-53 45-51 46-52 48-46 49-47 5-3 50-48 51-49 52-54 6-4 7-5 9-10
23	1-0 10-11 12-15 13-16 14-17 15-25 16-26 2-1 20-30 21-24 25-19 29-22 30-23 31-31 4-3 5-5 6-6 7-7 8-9 9-10
24	1-6 11-8 12-9 13-10 14-11 16-13 17-15 21-17 24-20 26-24 27-26 28-27 29-28 30-29 31-31 32-32 33-33 35-34 38-35 39-38 4-0 40-39 42-36 44-37 45-42 5-1 6-2 7-3 8-4 9-7
25	14-11 16-12 17-13 19-5 2-3 20-14 21-15 22-16 23-17 27-23 29-29 3-1 30-24 32-26 33-27 35-30 37-32 38-33 40-38 41-37 42-34 43-35 44-40 45-41 46-42 47-43 5-0 50-47 51-48 52-49 6-4 7-6 8-9 9-10
26	1-0 10-8 11-9 12-11 13-10 14-13 16-14 18-15 20-17 21-18 22-21 24-20 25-22 27-23 28-24 29-25 3-1 4-2 5-4 6-5 7-6 9-7
27	0-10 10-6 11-7 14-4 17-3 19-0 20-1 21-15 3-11 4-12 5-13 6-14 8-8 9-5
28	1-0 2-2 3-3 4-4
29	0-1 4-6 5-2 6-3
30	0-6 1-7 10-9 12-10 13-11 14-12 15-0 16-1 17-2 2-16 20-28 21-4 24-24 25-25 27-29 28-30 30-33 31-34 33-37 36-57 37-50 38-39 39-41 4-19 40-42 41-43 42-45 44-46 45-47 46-61 47-62 48-63 49-64 5-20 50-65 51-66 52-68 53-69 56-67 57-70 6-23 7-8 9-14
31	1-0 10-33 12-24 13-25 14-26 15-27 16-28 17-29 18-30 2-1 24-18 25-19 26-21 27-14 28-15 29-10 3-2 30-11 31-12 38-7 41-8 42-34 9-32
32	0-0 1-1 10-10 12-12 14-13 15-18 17-19 19-20 2-2 20-14 22-15 23-17 24-21 3-6 5-3 7-4 8-7
33	1-0 10-7 11-12 13-14 17-8 19-10 2-1 20-15 4-2 6-3 8-4 9-6
34	0-0 1-4 10-12 12-14 16-15 17-16 19-17 2-6 21-22 22-23 24-19 25-20 26-24 3-7 4-8 5-9 7-10 9-11
35	0-5 1-6 12-2 15-1 17-15 2-7 3-8 5-13 6-14 9-9
36	0-0 11-6 12-8 13-9 15-12 16-13 17-14 19-11 20-15 22-22 24-27 27-29 3-1 30-33 31-34 32-37 35-30 37-38 38-39 39-40 40-41 42-43 43-45 44-46 45-47 46-48 47-51 48-52 7-2 8-4 9-5
37	0-0 11-6 12-8 13-3 14-4 15-5 16-11 18-12 19-13 2-1 20-14 21-15 22-17 25-18 26-20 27-21 28-22 29-23 3-2 34-25 36-27 37-29 40-26 41-30
38	0-0 11-25 13-27 15-12 16-14 18-15 2-3 20-19 21-21 23-30 24-32 25-35 26-33 29-36 32-43 33-44 34-45 36-41 37-42 38-47 4-2 40-49 42-50 43-51 45-52 47-53 50-55 51-56 6-4 8-5
39	0-3 1-5 10-13 12-18 14-19 16-20 17-26 2-8 3-22 5-24 6-25 7-10 9-11
40	0-0 1-2
41	0-0 1-2 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 19-20 2-3 20-21 21-22 22-23 23-24 24-25 25-27 26-28 27-29 28-30 29-31 3-4 30-32 31-33 32-34 33-35 34-36 35-37 36-38 37-39 38-42 39-43 4-5 40-44 41-45 42-46 43-47 44-48 45-49 46-50 47-51 48-52 49-53 5-6 50-54 51-55 52-56 53-57 54-58 55-59 56-60 57-61 58-64 59-65 6-7 60-66 61-67 62-68 63-69 64-70 65-71 66-72 67-73 68-74 69-75 7-8 70-76 71-77 72-78 73-79 74-80 75-81 76-84 77-85 78-86 8-9 9-10
42	1-0 10-4 11-10 12-11 13-12 14-13 15-14 16-15 17-16 18-17 19-20 2-9 21-21 24-23 25-24 26-25 28-26 31-27 32-28 33-33 35-38 36-34 37-35 38-36 39-29 41-30 42-31 44-39 6-6 7-1 9-2
43	0-0 1-1 10-3 13-11 14-12 16-14 17-15 19-16 2-7 20-17 21-19 22-28 23-20 25-21 26-22 27-23 28-24 29-27 3-8 30-30 4-9 7-5
44	1-0 10-6 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-16 20-25 24-18 26-20 28-24 29-21 31-22 32-23 35-27 37-28 38-29 40-32 41-36 42-38 46-35 50-34 51-39 6-2 7-3 8-5
45	1-0 10-7 2-3 4-2 5-4 9-5
46	1-20 11-1 12-6 15-17 20-9 21-11 25-8 26-12 28-13 29-14 30-24 33-26 34-27 35-28 36-29 37-31 39-32 4-0 40-34 41-36 42-37 43-38 7-2 8-3 9-5
47	0-0 10-8 12-9 13-10 14-11 15-14 16-16 17-17 18-18 19-19 2-1 20-20 21-21 23-22 25-24 27-25 28-26 3-2 30-27 31-28 32-29 33-30 34-32 35-33 36-34 37-35 38-36 4-3 5-4 8-5 9-6
48	0-0 10-13 11-14 12-15 13-16 14-17 15-18 16-19 17-21 18-22 19-23 2-3 20-24 21-25 3-5 6-9 8-11 9-12
49	0-0 1-2 10-14 11-12 12-9 13-10 14-11 15-15 3-3 5-4 6-5 7-6 8-7 9-13
50	0-0 1-1 10-8 11-9 12-10 14-11 15-12 17-13 18-18 19-16 2-2 20-17 23-14 28-15 29-19 4-3 5-5 6-6 7-7
51	0-12 1-13 10-17 11-19 13-26 15-27 18-40 19-39 2-14 20-41 25-36 26-37 29-34 3-24 30-35 31-43 33-54 34-51 35-52 36-7 37-8 38-56 4-15 6-22 8-20
52	0-0 10-13 11-14 12-4 13-6 14-7 15-8 17-9 18-10 23-15 24-16 26-17 27-18 28-19 3-1 4-2 6-3 8-11
