0	0-0 1-1 2-2 3-3 5-4 6-5
1	0-2 1-0 10-11 11-12 12-13 13-14 14-17 15-21 16-1 17-16 18-19 19-20 2-3 20-26 21-22 22-23 23-24 24-25 25-27 26-33 27-35 28-37 29-32 3-4 30-28 31-29 32-30 33-31 34-38 35-39 36-40 37-41 38-44 39-45 4-18 40-46 41-36 42-47 43-34 44-42 45-8 46-43 47-48 5-5 6-7 7-6 8-10 9-9
2	0-0 1-1 10-8 11-9 12-10 14-4 15-5 16-6 17-20 18-15 19-18 2-13 20-17 21-19 23-21 25-23 26-22 27-25 28-26 29-24 3-14 30-27 4-2 5-11 6-16 7-12 8-3 9-7
3	0-0 1-2 10-4 11-5 12-1 13-16 15-11 16-17 17-13 18-18 19-20 2-6 20-22 21-21 22-23 23-24 24-15 25-25 26-26 28-19 29-27 3-7 4-8 5-9 6-10 7-12 8-3 9-14
4	0-0 1-6 10-13 11-15 12-10 13-14 14-16 15-17 16-11 17-12 2-4 22-18 23-19 25-24 26-25 28-23 29-20 3-1 30-21 31-22 33-26 4-2 5-5 6-3 7-7 8-8 9-9
5	1-0 11-7 12-8 13-15 14-9 15-10 16-11 17-13 18-14 2-3 20-16 21-12 22-17 23-18 24-19 25-20 29-25 3-4 31-30 32-29 33-26 34-27 35-28 37-21 38-22 4-5 40-23 42-24 43-31 6-6 7-1 9-2
6	0-15 1-19 10-13 11-5 12-11 13-12 14-3 15-0 16-4 17-6 18-9 19-1 2-20 20-2 21-24 3-21 4-22 5-23 6-17 7-16 8-18 9-14
7	0-14 1-15 10-18 11-19 12-20 13-22 14-24 15-25 16-23 17-27 18-28 19-39 2-16 20-5 21-29 22-36 23-30 24-31 25-32 26-13 27-33 28-34 29-35 3-17 30-38 31-40 32-41 33-42 34-43 35-44 36-37 37-47 38-48 4-7 5-0 6-3 7-2 8-4 9-26
8	0-0 1-1 10-14 11-15 12-16 13-17 14-20 15-21 16-22 17-23 18-18 19-19 2-2 20-24 21-25 22-27 23-28 24-29 25-26 26-8 27-9 28-12 29-30 3-6 30-31 31-32 32-33 33-10 34-34 35-37 36-38 37-39 38-42 39-35 4-4 40-36 41-40 42-41 43-43 44-44 45-45 46-46 5-11 6-3 7-5 8-7 9-13
9	0-6 1-3 10-13 11-14 12-0 13-1 14-15 2-4 3-5 4-7 5-9 6-8 7-11 8-10 9-12
10	0-9 1-0 10-2 11-3 12-8 13-15 14-20 15-17 17-18 18-19 2-10 20-16 22-11 23-12 24-13 25-14 26-21 27-22 28-25 29-26 3-1 30-27 32-23 33-30 34-29 35-28 36-24 37-31 38-32 39-33 4-6 40-39 41-34 42-35 43-36 44-37 45-38 46-40 47-41 5-7 7-5 9-4
11	0-0 1-1 10-11 11-3 12-20 13-15 14-16 15-17 16-12 17-13 18-14 19-21 2-2 3-4 4-18 5-5 6-10 7-6 8-7 9-8
12	0-0 1-1 10-25 11-24 12-21 13-23 14-16 15-17 16-18 17-26 18-28 19-33 2-2 20-20 21-32 22-29 23-30 24-31 25-36 26-37 27-35 28-38 29-41 3-3 30-39 31-22 32-40 33-34 34-43 4-8 5-9 6-11 7-13 8-14 9-15
13	0-0 10-13 11-14 15-6 16-7 17-8 2-1 21-10 22-11 23-15 3-2 4-5 5-3 6-4 7-9 8-12
14	0-11 10-3 11-4 12-5 13-6 15-7 17-9 18-10 19-8 2-12 21-1 22-0 27-2 3-13 4-14 45-16 9-15
