sentence_id	text	lemma	translation	alignment
semeval2013.d000.s000	U.N. group drafts plan to reduce emissions	u.n. group draft plan to reduce emission	Les projets de groupe des Nations Unies prévoient de réduire les émissions	[(0, 5), (0, 6), (1, 3), (2, 6), (2, 7), (3, 7), (4, 8), (5, 9), (6, 11)]
semeval2013.d000.s001	The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	the u.n.-sponsored climate conference -- characterize so far by unruly posturing and mutual recrimination -- gain renew focus friday with the release of a document outline ambitious greenhouse-gas reduction over the next 40 year , with industrialize nation shoulder most of the burden in the near term .	La conférence sur le climat parrainé par les Nations Unies - caractérisée jusqu'à présent par des récriminations de posture et mutuelles indisciplinées - a obtenu un accent renouvelé vendredi avec la publication d'un document décrivant des réductions ambitieuses de gaz à effet de serre au cours des 40 prochaines années, les nations industrialisées épaulent la majeure partie du fardeau à peu près.	[(0, 0), (1, 5), (1, 9), (1, 22), (2, 4), (3, 1), (4, 10), (5, 11), (6, 12), (7, 14), (8, 15), (9, 16), (9, 22), (10, 19), (11, 20), (12, 21), (13, 17), (14, 23), (15, 24), (15, 25), (16, 28), (18, 29), (19, 30), (20, 31), (21, 32), (22, 33), (23, 34), (24, 35), (25, 36), (26, 39), (27, 41), (28, 38), (29, 47), (30, 50), (31, 50), (32, 49), (33, 51), (34, 52), (36, 55), (37, 54), (39, 58), (40, 58), (41, 57), (42, 61), (43, 46), (44, 48), (47, 65)]
semeval2013.d000.s002	The text , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .	the text , which could provide the basis for a final political deal to regulate greenhouse_gas , highlight the remain obstacle as much as it illuminate a path forward .	Le texte, qui pourrait fournir la base d'un accord politique final pour réglementer les gaz à effet de serre, a mis en évidence les obstacles restants autant qu'il a éclairé une voie à suivre.	[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (8, 8), (9, 9), (10, 12), (11, 11), (12, 10), (13, 13), (14, 14), (15, 20), (16, 16), (17, 21), (18, 23), (18, 25), (19, 26), (20, 28), (21, 27), (22, 29), (24, 30), (25, 31), (26, 33), (27, 34), (28, 35), (29, 37), (30, 38)]
semeval2013.d000.s003	But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .	but it be see as a important advance in a negotiation that be run out of time , with more than 100 world leader arrive in copenhagen next week .	Mais cela a été considéré comme une avance importante dans une négociation qui manque de temps, avec plus de 100 dirigeants mondiaux arrivant à Copenhague la semaine prochaine.	[(0, 0), (1, 1), (2, 3), (3, 4), (4, 5), (5, 6), (6, 8), (7, 7), (8, 9), (9, 10), (10, 11), (10, 21), (10, 22), (11, 12), (12, 2), (14, 13), (15, 14), (16, 15), (17, 16), (18, 17), (19, 18), (20, 19), (21, 20), (22, 22), (23, 21), (24, 23), (25, 24), (26, 25), (27, 28), (28, 27), (29, 29)]
semeval2013.d000.s004	Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .	forge by a u.n. ad-hoc working_group , the text be silent on how much money rich country would give poor one to cope with global_warming over the short and long term .	Forgée par un groupe de travail ad hoc des Nations Unies, le texte est silencieux sur la quantité d'argent riche des pays pauvres pour faire face au réchauffement climatique à court et à long terme.	[(0, 0), (1, 1), (2, 2), (3, 9), (3, 10), (4, 6), (4, 7), (4, 10), (5, 5), (6, 3), (7, 11), (8, 12), (9, 13), (10, 14), (11, 15), (12, 16), (13, 17), (14, 18), (15, 20), (16, 21), (17, 23), (20, 24), (21, 24), (22, 25), (23, 26), (23, 27), (24, 28), (25, 30), (26, 29), (28, 31), (29, 32), (30, 33), (31, 35), (32, 36), (33, 37)]
semeval2013.d000.s005	And it provides a range of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate .	and it provide a range of option for the key question , include how developed and major emerge economy would cut they carbon output , and what would be the upper_limit of global temperature rise that policymaker would be willing to tolerate .	Et il offre une gamme d'options pour les questions clés, notamment la façon dont les économies émergentes développées et les grandes émergeraient leur débit de carbone, et quelle serait la limite supérieure de l'élévation de la température mondiale que les décideurs seraient prêts à tolérer.	[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (8, 8), (9, 10), (10, 9), (11, 11), (12, 12), (13, 14), (14, 19), (15, 20), (16, 22), (17, 18), (18, 17), (19, 23), (21, 24), (22, 27), (23, 25), (24, 28), (25, 29), (26, 30), (27, 31), (29, 32), (30, 34), (31, 33), (32, 35), (33, 41), (34, 40), (35, 17), (36, 42), (37, 44), (38, 45), (39, 45), (40, 46), (41, 47), (42, 48), (43, 49)]
semeval2013.d000.s006	It gives a lot of flexibility to the process , said John Coequyt , senior Washington representative for the Sierra Club .	it give a lot of flexibility to the process , say john coequyt , senior washington representative for the sierra club .	Il donne beaucoup de flexibilité au processus, a déclaré John Cooequyt, représentant senior de Washington pour le Sierra Club.	[(0, 0), (1, 1), (2, 8), (3, 2), (4, 3), (5, 4), (6, 5), (8, 6), (9, 7), (10, 9), (11, 10), (12, 11), (13, 12), (14, 14), (15, 16), (16, 13), (16, 15), (17, 17), (18, 18), (19, 19), (20, 20), (21, 21)]
semeval2013.d000.s007	Michael Zammit Cutajar , who drafted the six-page document , boiled down a 180-page negotiation text to focus on what the U.N. 's top climate official , Yvo de Boer , described as `` the big picture . ''	michael zammit cutajar , who draft the six-page document , boil down a 180-page negotiation text to focus on what the u.n. 's top climate official , yvo de boer , describe as `` the big picture . ''	Michael Zammit Cutajar, qui a rédigé le document de six pages, a résolu un texte de négociation de 180 pages pour se concentrer sur ce que le haut responsable du climat des Nations Unies, Yvo de Boer, a décrit comme `` la vue d'ensemble.''	[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 6), (6, 7), (7, 9), (7, 10), (7, 11), (8, 8), (9, 12), (10, 13), (10, 14), (12, 15), (13, 19), (13, 20), (13, 21), (14, 18), (15, 16), (16, 22), (17, 24), (18, 25), (19, 26), (20, 28), (21, 34), (21, 35), (22, 41), (22, 48), (23, 29), (24, 32), (25, 30), (26, 36), (27, 37), (28, 38), (29, 39), (30, 40), (31, 42), (32, 43), (33, 44), (33, 45), (34, 46), (35, 49), (36, 47), (37, 50), (38, 51)]
semeval2013.d000.s008	It shows the outlines for a possible deal , in which industrial nations would collectively cut their emissions by 2020 by 25 to 45 percent compared with 1990 levels , while major developing countries would reduce theirs during the same period by 15 to 30 percent .	it show the outline for a possible deal , in which industrial nation would collectively cut they emission by 2020 by 25 to 45 percent compare with 1990 level , while major developing_country would reduce theirs during the same period by 15 to 30 percent .	Il montre les contours pour un éventuel accord, dans lequel les pays industriels réduiraient collectivement leurs émissions d'ici 2020 à 25 à 45% par rapport aux niveaux de 1990, tandis que les grands pays en développement réduiraient le leur pendant la même période de 15 à 30%.	[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (8, 8), (9, 9), (10, 10), (11, 13), (12, 12), (13, 14), (14, 15), (15, 14), (16, 16), (17, 17), (18, 26), (19, 20), (21, 22), (22, 23), (23, 24), (24, 25), (25, 27), (26, 28), (27, 31), (28, 29), (29, 32), (30, 33), (31, 36), (32, 39), (33, 37), (34, 40), (35, 40), (36, 42), (37, 43), (38, 44), (39, 45), (40, 46), (41, 47), (42, 48), (43, 49), (44, 50), (45, 51), (46, 52)]
semeval2013.d000.s009	Together , the countries would cut emissions between 50 and 95 percent by 2050 .	together , the country would cut emission between 50 and 95 percent by 2050 .	Ensemble, les pays réduiraient les émissions entre 50 et 95% d'ici 2050.	[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 4), (6, 6), (7, 7), (8, 8), (9, 9), (10, 10), (11, 11), (12, 4), (13, 14), (14, 15)]
semeval2013.d000.s010	The European Union gave the talks a boost as well on Friday by pledging to provide $ 3.6 billion a year over the next three years to help poorer countries adapt to the impact of climate change -- from coping with flood and drought to avoiding deforestation .	the european_union give the talk a boost as well on friday by pledge to provide $ 3.6 billion a year over the next three year to help poorer country adapt to the impact of climate_change -- from cope with flood and drought to avoid deforestation .	Vendredi, l'Union européenne a également donné un coup de pouce en s'engageant à fournir 3,6 milliards de dollars par an au cours des trois prochaines années pour aider les pays les plus pauvres à s'adapter à l'impact du changement climatique - de la gestion des inondations et de la sécheresse pour éviter la déforestation.	[(0, 2), (1, 4), (2, 3), (3, 7), (4, 31), (5, 18), (6, 8), (7, 9), (8, 6), (11, 0), (12, 12), (13, 14), (14, 15), (15, 16), (16, 20), (17, 17), (18, 18), (19, 21), (20, 22), (21, 24), (22, 25), (23, 27), (24, 26), (25, 28), (26, 29), (27, 30), (28, 35), (29, 32), (30, 38), (31, 39), (32, 40), (33, 41), (34, 42), (35, 44), (36, 43), (37, 45), (38, 46), (41, 50), (42, 51), (43, 54), (44, 55), (45, 56), (46, 58), (47, 59)]
semeval2013.d000.s011	Still , Friday featured the same sort of verbal fireworks that have dominated the talks for the past week .	still , friday feature the same sort of verbal firework that have dominate the talk for the past week .	Vendredi, vendredi a présenté le même genre de feux d'artifice verbal qui ont dominé les pourparlers de la semaine dernière.	[(1, 1), (2, 2), (3, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 12), (9, 9), (9, 11), (10, 13), (11, 14), (12, 15), (13, 16), (14, 17), (16, 19), (17, 21), (18, 20), (19, 22)]
semeval2013.d000.s012	U.S. special climate envoy Todd Stern rejected language requiring binding cuts of greenhouse-gas emissions for industrialized countries compared with voluntary ones by major emerging economies if they were not funded by the developed world .	u.s. special climate envoy todd stern reject language require binding cut of greenhouse-gas emission for industrialized country compare with voluntary one by major emerge economy if they be not fund by the developed world .	L'envoyé spécial du climat spécial Todd Stern a rejeté le langage rejeté nécessitant des coupes contraignantes des émissions de gaz à effet de serre pour les pays industrialisés par rapport à des coupes volontaires par les grandes économies émergentes si elles n'étaient pas financées par le monde développé.	[(0, 0), (1, 5), (2, 4), (3, 1), (3, 2), (4, 6), (5, 7), (6, 9), (7, 11), (8, 13), (9, 12), (10, 15), (11, 17), (12, 20), (12, 24), (13, 18), (14, 25), (15, 28), (16, 27), (17, 30), (18, 31), (19, 16), (19, 34), (21, 35), (22, 37), (23, 39), (24, 28), (24, 38), (25, 40), (26, 41), (27, 43), (28, 44), (29, 45), (30, 46), (31, 47), (32, 49), (33, 48), (34, 50)]
semeval2013.d000.s013	The move signaled that the Obama administration is taking a harder line with China than Bush administration officials did just two years ago .	the move signal that the obama administration be take a hard_line with china than bush_administration official do just two year ago .	Cette décision a signalé que l'administration Obama prend une ligne plus difficile avec la Chine que les responsables de l'administration Bush il y a seulement deux ans.	[(0, 0), (1, 1), (2, 3), (3, 4), (4, 5), (5, 7), (6, 6), (7, 2), (8, 8), (9, 9), (10, 11), (10, 12), (11, 10), (12, 13), (13, 15), (14, 16), (15, 22), (16, 21), (17, 17), (17, 18), (19, 26), (20, 27), (21, 28), (22, 23), (23, 29)]
semeval2013.d000.s014	The United States is not going to do a deal without the major developing countries stepping up and taking action , said Stern , who also complained that the text did not do enough to make sure the cuts could be verified by outside observers .	the united_states be not go to do a deal without the major developing_country step up and take action , say stern , who also complain that the text do not do enough to make sure the cut could be verify by outside observer .	Les États-Unis ne feront pas un accord sans que les principaux pays en développement intensifient et prennent des mesures, a déclaré Stern, qui s'est également plaint que le texte n'en avait pas fait assez pour s'assurer que les coupes pourraient être vérifiées par des observateurs extérieurs.	[(0, 0), (1, 1), (2, 1), (3, 3), (4, 4), (6, 2), (7, 3), (8, 5), (9, 6), (10, 7), (11, 9), (12, 10), (13, 13), (14, 11), (15, 14), (16, 14), (17, 15), (18, 16), (19, 18), (20, 19), (21, 21), (22, 22), (23, 23), (24, 24), (25, 27), (26, 28), (27, 29), (28, 30), (29, 31), (30, 34), (31, 35), (32, 36), (33, 37), (34, 38), (35, 40), (36, 40), (37, 42), (38, 43), (39, 44), (40, 45), (41, 46), (42, 47), (43, 50), (44, 49), (44, 50), (45, 51)]
semeval2013.d000.s015	Stern made his comments an hour after Chinese vice foreign minister He Yafei said America 's top climate negotiator was either lacking `` common sense '' or being `` extremely irresponsible '' for saying earlier in the week that the United States would not help China financially to cope with global warming .	stern make he comment a hour after chinese vice foreign_minister he yafeus say america 's top climate negotiator be either lack `` common_sense '' or be `` extremely irresponsible '' for say earlier in the week that the united_states would not help china financially to cope with global_warming .	Stern a fait ses commentaires une heure après que le vice-ministre chinois des Affaires étrangères, il Yafei, a déclaré que le meilleur négociateur climatique américain manquait soit de `` bon sens '', soit d'être `` extrêmement irresponsable '' pour avoir dit plus tôt dans la semaine que les États-Unis n'aideraient pas financièrement en Chine à faire face au réchauffement climatique.	[(0, 0), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 11), (8, 10), (9, 14), (10, 10), (11, 16), (12, 17), (13, 20), (14, 26), (15, 22), (15, 55), (16, 23), (17, 25), (18, 24), (19, 27), (20, 28), (21, 27), (22, 30), (23, 32), (24, 33), (25, 43), (26, 36), (27, 38), (28, 39), (29, 41), (30, 42), (31, 34), (32, 44), (33, 46), (34, 47), (35, 49), (36, 50), (37, 51), (38, 52), (39, 53), (40, 54), (41, 54), (42, 56), (43, 57), (44, 56), (45, 60), (46, 58), (47, 61), (48, 62), (48, 63), (49, 64), (50, 66), (51, 65), (52, 67)]
semeval2013.d000.s016	With the future economic trajectory of the world 's major powers at stake , fault lines have erupted both within the developing world and between the industrial world and emerging economies .	with the future economic trajectory of the world 's major_power at stake , fault_line have erupt both within the develop world and between the industrial world and emerge economy .	Avec la trajectoire économique future des principales pouvoirs du monde en jeu, les lignes de faille ont éclaté à la fois dans le monde en développement et entre le monde industriel et les économies émergentes.	[(0, 0), (1, 1), (2, 4), (3, 3), (4, 2), (5, 5), (6, 8), (7, 9), (8, 14), (9, 6), (10, 7), (11, 10), (12, 11), (13, 12), (15, 14), (16, 17), (17, 18), (18, 21), (19, 22), (20, 23), (21, 26), (22, 30), (23, 27), (24, 28), (25, 29), (26, 31), (27, 24), (28, 32), (29, 35), (30, 34), (31, 36)]
semeval2013.d000.s017	The current battle is as much about saving individual economies as saving the planet , with China and United States feuding over their respective obligations while poorer nations insist that the world 's two dozen most influential countries are ignoring the scientific imperative to take bolder action .	the current battle be as much about save individual economy as save the planet , with china and united_states feud over they respective obligation while poorer nation insist that the world 's two_dozen most influential country be ignore the scientific imperative to take bolder action .	La bataille actuelle consiste autant à sauver les économies individuelles que pour sauver la planète, la Chine et les États-Unis se disputant leurs obligations respectives tandis que les nations les plus pauvres insistent sur le fait que les deux douzaines de pays les plus influents du monde ignorent l'impératif scientifique de prendre des mesures plus audacieuses.	[(0, 0), (1, 2), (2, 1), (3, 3), (4, 4), (6, 5), (7, 6), (8, 9), (9, 8), (10, 10), (11, 12), (12, 13), (13, 14), (14, 15), (16, 17), (17, 18), (18, 20), (19, 20), (20, 22), (21, 34), (22, 23), (23, 25), (24, 24), (25, 26), (26, 32), (27, 29), (28, 33), (29, 37), (30, 28), (31, 47), (32, 49), (33, 39), (34, 40), (35, 44), (36, 45), (37, 42), (38, 33), (39, 48), (40, 49), (41, 51), (42, 50), (43, 52), (44, 53), (45, 56), (45, 57), (46, 55), (47, 58)]
